image,x0,y0,x1,y1,camera,suffix,tiles
00_2015-12-14_135753_DSC_3564.thumb.jpg,3952,2300,5166,3097,astrosmall00_mobile,,"55,56,65 "
00_2015-12-14_141008_DSC_3613.thumb.jpg,5,1832,510,2819,astrosmall00_mobile,,"40,50 "
00_2015-12-14_144308_DSC_3745.thumb.jpg,1560,3042,1949,3252,astrosmall00_mobile,1,62
00_2015-12-14_144308_DSC_3745.thumb.jpg,3508,2950,3967,3215,astrosmall00_mobile,2,"64,65"
00_2015-12-14_144808_DSC_3765.thumb.jpg,3864,3832,4359,4015,astrosmall00_mobile,,75
00_2015-12-14_145956_DSC_3804.thumb.jpg,730,4324,884,4546,astrosmall00_mobile,,"81,91"
00_2015-12-14_150111_DSC_3809.thumb.jpg,6019,860,7360,1264,astrosmall00_mobile,,"19,28,29"
00_2015-12-14_150241_DSC_3815.thumb.jpg,3723,3824,4509,4133,astrosmall00_mobile,1,69
00_2015-12-14_150241_DSC_3815.thumb.jpg,6401,2881,7284,3269,astrosmall00_mobile,2,"75,85"
00_2015-12-14_152243_DSC_3892.thumb.jpg,2760,4103,3080,4390,astrosmall00_mobile,1,58
00_2015-12-14_152243_DSC_3892.thumb.jpg,6231,2280,6789,3016,astrosmall00_mobile,2,"83,84"
00_2015-12-14_152413_DSC_3898.thumb.jpg,4717,2127,5030,2985,astrosmall00_mobile,,"46,56"
00_2015-12-14_154913_DSC_3998.thumb.jpg,4186,4078,4414,4351,astrosmall00_mobile,,85
00_2015-12-14_155013_DSC_4002.thumb.jpg,1776,1816,2188,2485,astrosmall00_mobile,,42
00_2015-12-14_155113_DSC_4006.thumb.jpg,0,3300,360,3550,astrosmall00_mobile,,70
00_2015-12-14_155513_DSC_4022.thumb.jpg,6406,866,7360,1956,astrosmall00_mobile,,"29,39 "
00_2015-12-14_160256_DSC_4046.thumb.jpg,3478,1893,3721,2176,astrosmall00_mobile,,44
00_2015-12-14_160411_DSC_4051.thumb.jpg,0,1400,1426,2469,astrosmall00_mobile,,"30,41 "
00_2015-12-14_160726_DSC_4064.thumb.jpg,5500,3863,5784,4062,astrosmall00_mobile,,"77,87 "
00_2015-12-14_162226_DSC_4124.thumb.jpg,689,2096,1373,2593,astrosmall00_mobile,,41
00_2015-12-14_162811_DSC_4147.thumb.jpg,3672,4351,3905,4479,astrosmall00_mobile,,85
00_2015-12-14_164504_DSC_4209.thumb.jpg,3214,950,3609,1620,astrosmall00_mobile,1,"24,34"
00_2015-12-14_164504_DSC_4209.thumb.jpg,6343,3470,7360,3716,astrosmall00_mobile,2,"78,79 "
00_2015-12-14_164734_DSC_4219.thumb.jpg,2797,2541,3157,2960,astrosmall00_mobile,,"53,54 "
00_2015-12-14_165204_DSC_4237.thumb.jpg,1984,2954,2270,3360,astrosmall00_mobile,,62
00_2015-12-14_165734_DSC_4259.thumb.jpg,4785,4043,5266,4221,astrosmall00_mobile,,86
00_2015-12-14_170149_DSC_4276.thumb.jpg,4546,2587,5214,2931,astrosmall00_mobile,,56
00_2015-12-14_171249_DSC_4320.thumb.jpg,4235,2867,4908,3178,astrosmall00_mobile,1,"65,66,69 "
00_2015-12-14_171249_DSC_4320.thumb.jpg,6616,3274,7360,3541,astrosmall00_mobile,2,69
00_2015-12-14_171404_DSC_4325.thumb.jpg,3906,4570,4533,4889,astrosmall00_mobile,,"95,96 "
00_2015-12-14_182122_DSC_4369.thumb.jpg,1864,3599,2535,4061,astrosmall00_mobile,,"72,73,83 "
00_2015-12-14_182907_DSC_4400.thumb.jpg,5048,3405,5829,4716,astrosmall00_mobile,1,"67,68"
00_2015-12-14_182907_DSC_4400.thumb.jpg,5481,2900,6108,3639,astrosmall00_mobile,2,"76,77,78,87,97"
00_2015-12-14_183307_DSC_4416.thumb.jpg,5848,3508,6620,3876,astrosmall00_mobile,,78
00_2015-12-14_183352_DSC_4419.thumb.jpg,656,1886,1245,2219,astrosmall00_mobile,,41
00_2015-12-14_183607_DSC_4428.thumb.jpg,4929,3593,5672,4029,astrosmall00_mobile,,"76,77 "
00_2015-12-14_183837_DSC_4438.thumb.jpg,2834,3531,3473,4091,astrosmall00_mobile,,"74,83,84 "
00_2015-12-14_185322_DSC_4497.thumb.jpg,4173,1193,5397,1581,astrosmall00_mobile,,"25,26,27 "
00_2015-12-14_185644_DSC_4507.thumb.jpg,0,3286,472,3628,astrosmall00_mobile,,"60,70 "
00_2015-12-14_190159_DSC_4528.thumb.jpg,2091,2775,2368,3175,astrosmall00_mobile,,"52,63 "
00_2015-12-14_190214_DSC_4529.thumb.jpg,4151,4097,4813,4413,astrosmall00_mobile,,"85,86 "
00_2015-12-14_190414_DSC_4537.thumb.jpg,6540,1964,7360,2248,astrosmall00_mobile,,49
00_2015-12-14_190459_DSC_4540.thumb.jpg,1559,1656,1726,2490,astrosmall00_mobile,,"32,42,52 "
00_2015-12-14_190559_DSC_4544.thumb.jpg,4348,2749,4592,3492,astrosmall00_mobile,,"56,66 "
00_2015-12-14_190759_DSC_4552.thumb.jpg,3840,4116,4119,4912,astrosmall00_mobile,,"85,95 "
00_2015-12-14_191114_DSC_4565.thumb.jpg,1684,257,2081,605,astrosmall00_mobile,,"02,12 "
00_2015-12-14_194129_DSC_4686.thumb.jpg,6304,831,6614,1916,astrosmall00_mobile,,"18,28,38 "
00_2015-12-14_194344_DSC_4695.thumb.jpg,1554,594,1834,1389,astrosmall00_mobile,,"12,22 "
00_2015-12-14_195244_DSC_4731.thumb.jpg,549,3217,713,3502,astrosmall00_mobile,,"60,70 "
00_2015-12-14_195844_DSC_4755.thumb.jpg,1592,2550,1977,3665,astrosmall00_mobile,,"52,62,72 "
00_2015-12-14_200059_DSC_4764.thumb.jpg,623,1433,1037,1674,astrosmall00_mobile,,"30,31 "
00_2015-12-14_200144_DSC_4767.thumb.jpg,4603,1002,4742,1675,astrosmall00_mobile,,"26,36 "
00_2015-12-14_201159_DSC_4808.thumb.jpg,3443,0,3604,300,astrosmall00_mobile,,04
01_2015-12-14_130302_DSC_0229.thumb.jpg,6989,3326,7217,3560,astrosmall01,,
01_2015-12-14_151701_DSC_0568.thumb.jpg,2036,1350,2884,1627,astrosmall01,,
01_2015-12-14_151837_DSC_0572.thumb.jpg,473,1912,1208,2235,astrosmall01,,
01_2015-12-14_151925_DSC_0573.thumb.jpg,2846,2592,3877,3558,astrosmall01,,
01_2015-12-14_153839_DSC_0621.thumb.jpg,0,1620,3219,2913,astrosmall01,,
01_2015-12-14_161625_DSC_0716.thumb.jpg,2665,2657,3438,2942,astrosmall01,,
01_2015-12-14_162606_DSC_0740.thumb.jpg,1527,1640,2276,1928,astrosmall01,,
01_2015-12-14_163042_DSC_0751.thumb.jpg,1057,1522,2422,1860,astrosmall01,,
01_2015-12-14_164323_DSC_0782.thumb.jpg,4293,4352,5049,4874,astrosmall01,,
01_2015-12-14_164352_DSC_0784.thumb.jpg,4831,3282,5367,3606,astrosmall01,,
01_2015-12-14_164500_DSC_0786.thumb.jpg,5694,1994,6295,2193,astrosmall01,,
01_2015-12-14_164829_DSC_0795.thumb.jpg,2661,3886,3810,4417,astrosmall01,,
01_2015-12-14_165021_DSC_0800.thumb.jpg,3160,4337,4042,4771,astrosmall01,,
01_2015-12-14_165738_DSC_0817.thumb.jpg,2441,2140,4551,2618,astrosmall01,,
01_2015-12-14_165757_DSC_0818.thumb.jpg,3945,3458,4733,3847,astrosmall01,,
01_2015-12-14_171932_DSC_0872.thumb.jpg,2682,2667,3718,2985,astrosmall01,,
01_2015-12-14_174205_DSC_0927.thumb.jpg,7158,1558,7360,1912,astrosmall01,,
01_2015-12-14_182048_DSC_1023.thumb.jpg,6620,3352,6918,3550,astrosmall01,,
01_2015-12-14_182542_DSC_1036.thumb.jpg,2153,2607,2583,2822,astrosmall01,,
01_2015-12-14_185326_DSC_1107.thumb.jpg,4318,1736,5151,2362,astrosmall01,,
01_2015-12-14_185806_DSC_1119.thumb.jpg,842,2010,1677,2452,astrosmall01,,
01_2015-12-14_190436_DSC_1136.thumb.jpg,0,4021,1271,4300,astrosmall01,,
01_2015-12-14_190555_DSC_1139.thumb.jpg,3184,2302,4123,2934,astrosmall01,,
01_2015-12-14_201201_DSC_1308.thumb.jpg,6649,2466,7081,3392,astrosmall01,,
33_2015-12-14_123159_DSC_0109.thumb.jpg,3657,2423,3972,2869,dfnsmall33,,
33_2015-12-14_160359_DSC_0533.thumb.jpg,4566,1405,5281,1983,dfnsmall33,,
33_2015-12-14_165728_DSC_0640.thumb.jpg,3983,3113,4637,4013,dfnsmall33,,
33_2015-12-14_175858_DSC_0763.thumb.jpg,3560,1791,3933,2302,dfnsmall33,,
33_2015-12-14_182028_DSC_0806.thumb.jpg,3768,1490,4124,1883,dfnsmall33,,
33_2015-12-14_183828_DSC_0842.thumb.jpg,2104,2417,2415,2717,dfnsmall33,,
33_2015-12-14_185828_DSC_0882.thumb.jpg,3877,3134,4236,3661,dfnsmall33,,
33_2015-12-14_190358_DSC_0893.thumb.jpg,5174,2368,5773,2655,dfnsmall33,,
33_2015-12-14_190558_DSC_0897.thumb.jpg,1630,1016,2022,1398,dfnsmall33,,
33_2015-12-14_194228_DSC_0970.thumb.jpg,4225,1328,4523,1888,dfnsmall33,,
33_2015-12-14_194328_DSC_0972.thumb.jpg,4251,4534,4518,4784,dfnsmall33,,
33_2015-12-14_195628_DSC_0998.thumb.jpg,1612,2637,1759,2841,dfnsmall33,,
33_2015-12-14_201158_DSC_1029.thumb.jpg,3504,1438,3791,2027,dfnsmall33,,
49_2015-12-14_113328_DSC_9548.thumb.jpg,3658,1627,4067,2368,dfnsmall49,,
49_2015-12-14_124458_DSC_9691.thumb.jpg,4711,606,4854,863,dfnsmall49,,
49_2015-12-14_130228_DSC_9726.thumb.jpg,3217,3727,3503,4062,dfnsmall49,,
49_2015-12-14_145328_DSC_9948.thumb.jpg,3736,1876,4244,2652,dfnsmall49,,
49_2015-12-14_153828_DSC_0039.thumb.jpg,3331,666,4016,1876,dfnsmall49,,
49_2015-12-14_163028_DSC_0143.thumb.jpg,3781,848,4176,1516,dfnsmall49,,
49_2015-12-14_163428_DSC_0151.thumb.jpg,4804,725,5180,1152,dfnsmall49,,
49_2015-12-14_165728_DSC_0197.thumb.jpg,3455,1800,3787,2924,dfnsmall49,,
49_2015-12-14_183828_DSC_0399.thumb.jpg,4685,3501,4928,4094,dfnsmall49,,
49_2015-12-14_185628_DSC_0435.thumb.jpg,5375,3413,5557,3662,dfnsmall49,,
