image,confidence,x0,y0,x1,y1,tile
01_2015-12-14_161625_DSC_0716.thumb.jpg,0.53693,600.0,600.0,800.0,800.0,33.0
01_2015-12-14_164829_DSC_0795.thumb.jpg,0.99988,600.0,1000.0,800.0,1200.0,53.0
01_2015-12-14_164829_DSC_0795.thumb.jpg,0.99993,600.0,1028.0,800.0,1228.0,63.0
01_2015-12-14_185821_DSC_1120.thumb.jpg,0.99996,600.0,400.0,800.0,600.0,23.0
01_2015-12-14_195925_DSC_1276.thumb.jpg,0.72987,1000.0,600.0,1200.0,800.0,35.0
01_2015-12-14_195925_DSC_1276.thumb.jpg,0.99991,1200.0,600.0,1400.0,800.0,36.0
01_2015-12-14_190555_DSC_1139.thumb.jpg,0.99873,800.0,600.0,1000.0,800.0,34.0
01_2015-12-14_182542_DSC_1036.thumb.jpg,0.58148,600.0,600.0,800.0,800.0,33.0
01_2015-12-14_115754_DSC_0063.thumb.jpg,0.58256,1000.0,1000.0,1200.0,1200.0,55.0
01_2015-12-14_121005_DSC_0094.thumb.jpg,1.0,1200.0,800.0,1400.0,1000.0,46.0
01_2015-12-14_200717_DSC_1296.thumb.jpg,0.89213,600.0,1000.0,800.0,1200.0,53.0
01_2015-12-14_200717_DSC_1296.thumb.jpg,0.97022,600.0,1028.0,800.0,1228.0,63.0
01_2015-12-14_123157_DSC_0150.thumb.jpg,0.99997,800.0,600.0,1000.0,800.0,34.0
01_2015-12-14_123157_DSC_0150.thumb.jpg,0.99997,1000.0,600.0,1200.0,800.0,35.0
01_2015-12-14_201201_DSC_1308.thumb.jpg,0.99999,1600.0,600.0,1800.0,800.0,38.0
01_2015-12-14_201201_DSC_1308.thumb.jpg,1.0,1640.0,600.0,1840.0,800.0,39.0
01_2015-12-14_131054_DSC_0249.thumb.jpg,0.99821,600.0,600.0,800.0,800.0,33.0
01_2015-12-14_131125_DSC_0251.thumb.jpg,0.98702,800.0,800.0,1000.0,1000.0,44.0
01_2015-12-14_192628_DSC_1192.thumb.jpg,0.96161,800.0,600.0,1000.0,800.0,34.0
