image,label,prediction,confidence
00_2015-12-14_124659_DSC_3316_00.thumb.jpg,other,other,0.98075
00_2015-12-14_124659_DSC_3316_01.thumb.jpg,other,other,0.80075
00_2015-12-14_124659_DSC_3316_02.thumb.jpg,other,other,0.75440
00_2015-12-14_124659_DSC_3316_03.thumb.jpg,other,other,0.95291
00_2015-12-14_124659_DSC_3316_04.thumb.jpg,other,other,0.60773
00_2015-12-14_124659_DSC_3316_05.thumb.jpg,other,other,0.94782
00_2015-12-14_124659_DSC_3316_06.thumb.jpg,other,other,0.93273
00_2015-12-14_124659_DSC_3316_07.thumb.jpg,other,other,0.95493
00_2015-12-14_124659_DSC_3316_08.thumb.jpg,other,other,0.98610
00_2015-12-14_124659_DSC_3316_09.thumb.jpg,other,other,0.99875
00_2015-12-14_124659_DSC_3316_10.thumb.jpg,other,other,0.97820
00_2015-12-14_124659_DSC_3316_11.thumb.jpg,other,other,0.86429
00_2015-12-14_124659_DSC_3316_12.thumb.jpg,other,other,0.97068
00_2015-12-14_124659_DSC_3316_13.thumb.jpg,other,other,0.86423
00_2015-12-14_124659_DSC_3316_14.thumb.jpg,other,other,0.93737
00_2015-12-14_124659_DSC_3316_15.thumb.jpg,other,other,0.96904
00_2015-12-14_124659_DSC_3316_16.thumb.jpg,other,other,0.96202
00_2015-12-14_124659_DSC_3316_17.thumb.jpg,other,other,0.93044
00_2015-12-14_124659_DSC_3316_18.thumb.jpg,other,other,0.72263
00_2015-12-14_124659_DSC_3316_19.thumb.jpg,other,other,0.88072
00_2015-12-14_124659_DSC_3316_21.thumb.jpg,other,other,0.88507
00_2015-12-14_124659_DSC_3316_22.thumb.jpg,other,other,0.79998
00_2015-12-14_124659_DSC_3316_23.thumb.jpg,other,other,0.91551
00_2015-12-14_124659_DSC_3316_24.thumb.jpg,other,other,0.68326
00_2015-12-14_124659_DSC_3316_25.thumb.jpg,other,other,0.96187
00_2015-12-14_124659_DSC_3316_26.thumb.jpg,other,other,0.90183
00_2015-12-14_124659_DSC_3316_27.thumb.jpg,other,other,0.93932
00_2015-12-14_124659_DSC_3316_28.thumb.jpg,other,other,0.96420
00_2015-12-14_124659_DSC_3316_29.thumb.jpg,other,other,0.98162
00_2015-12-14_124659_DSC_3316_30.thumb.jpg,other,other,0.84325
00_2015-12-14_124659_DSC_3316_31.thumb.jpg,other,other,0.91712
00_2015-12-14_124659_DSC_3316_32.thumb.jpg,other,other,0.52687
00_2015-12-14_124659_DSC_3316_33.thumb.jpg,other,other,0.78225
00_2015-12-14_124659_DSC_3316_34.thumb.jpg,other,other,0.54521
00_2015-12-14_124659_DSC_3316_35.thumb.jpg,other,other,0.87144
00_2015-12-14_124659_DSC_3316_36.thumb.jpg,other,other,0.98710
00_2015-12-14_124659_DSC_3316_38.thumb.jpg,other,other,0.95305
00_2015-12-14_124659_DSC_3316_39.thumb.jpg,other,other,0.78739
00_2015-12-14_124659_DSC_3316_40.thumb.jpg,other,other,0.88736
00_2015-12-14_124659_DSC_3316_41.thumb.jpg,other,other,0.95810
00_2015-12-14_124659_DSC_3316_42.thumb.jpg,other,transients,0.67687
00_2015-12-14_124659_DSC_3316_43.thumb.jpg,other,other,0.87219
00_2015-12-14_124659_DSC_3316_44.thumb.jpg,other,other,0.77562
00_2015-12-14_124659_DSC_3316_45.thumb.jpg,other,other,0.93509
00_2015-12-14_124659_DSC_3316_46.thumb.jpg,other,other,0.96826
00_2015-12-14_124659_DSC_3316_48.thumb.jpg,other,other,0.90579
00_2015-12-14_124659_DSC_3316_49.thumb.jpg,other,other,0.85717
00_2015-12-14_124659_DSC_3316_50.thumb.jpg,other,other,0.91446
00_2015-12-14_124659_DSC_3316_51.thumb.jpg,other,other,0.95764
00_2015-12-14_124659_DSC_3316_52.thumb.jpg,other,other,0.89792
00_2015-12-14_124659_DSC_3316_53.thumb.jpg,other,other,0.90503
00_2015-12-14_124659_DSC_3316_56.thumb.jpg,other,other,0.96849
00_2015-12-14_124659_DSC_3316_57.thumb.jpg,other,other,0.94200
00_2015-12-14_124659_DSC_3316_58.thumb.jpg,other,other,0.76406
00_2015-12-14_124659_DSC_3316_59.thumb.jpg,other,other,0.92152
00_2015-12-14_124659_DSC_3316_60.thumb.jpg,other,other,0.96807
00_2015-12-14_124659_DSC_3316_61.thumb.jpg,other,transients,0.55632
00_2015-12-14_124659_DSC_3316_62.thumb.jpg,other,other,0.67341
00_2015-12-14_124659_DSC_3316_65.thumb.jpg,other,other,0.81547
00_2015-12-14_124659_DSC_3316_66.thumb.jpg,other,other,0.94865
00_2015-12-14_124659_DSC_3316_67.thumb.jpg,other,other,0.86150
00_2015-12-14_124659_DSC_3316_68.thumb.jpg,other,other,0.93695
00_2015-12-14_124659_DSC_3316_69.thumb.jpg,other,other,0.91621
00_2015-12-14_124659_DSC_3316_70.thumb.jpg,other,other,0.96094
00_2015-12-14_124659_DSC_3316_71.thumb.jpg,other,other,0.80381
00_2015-12-14_124659_DSC_3316_72.thumb.jpg,other,other,0.77846
00_2015-12-14_124659_DSC_3316_73.thumb.jpg,other,other,0.76001
00_2015-12-14_124659_DSC_3316_74.thumb.jpg,other,other,0.74417
00_2015-12-14_124659_DSC_3316_75.thumb.jpg,other,other,0.90388
00_2015-12-14_124659_DSC_3316_76.thumb.jpg,other,other,0.90207
00_2015-12-14_124659_DSC_3316_77.thumb.jpg,other,other,0.71844
00_2015-12-14_124659_DSC_3316_78.thumb.jpg,other,other,0.91950
00_2015-12-14_124659_DSC_3316_79.thumb.jpg,other,other,0.92977
00_2015-12-14_124659_DSC_3316_80.thumb.jpg,other,other,0.99437
00_2015-12-14_124659_DSC_3316_81.thumb.jpg,other,other,0.82000
00_2015-12-14_124659_DSC_3316_82.thumb.jpg,other,other,0.93303
